name,github_slug,main_repo,homepage,language,domains,loc_estimate,fuzzing_engines,sanitizers,fuzz_target_count,has_dockerfile,has_asan,has_coverage,build_system,quality_score,apt_packages,nvd_cve_count,nvd_mean_cvss,nvd_cwes,github_stars
snappy,google/snappy,https://github.com/google/snappy,https://github.com/google/snappy,c++,compression,6501,libfuzzer | afl,address,0,Yes,Yes,No,cmake,2,make | autoconf | automake | libtool | gettext | pkg-config | build-essential,12,6.82,CWE-20 | CWE-502 | CWE-190 | CWE-770 | CWE-125 | CWE-787 | CWE-79 | CWE-201,6547
zipp,jaraco/zipp,https://github.com/jaraco/zipp,https://github.com/jaraco/zipp,python,uncategorized,992,libfuzzer,address | undefined,0,Yes,Yes,No,,2,make | autoconf | automake | libtool,12,5.88,CWE-94 | CWE-310 | CWE-200 | CWE-502 | CWE-281 | CWE-434 | CWE-835 | CWE-862 | CWE-79 | CWE-22,66
libjxl,libjxl/libjxl,https://github.com/libjxl/libjxl.git,https://github.com/libjxl/libjxl,c++,image-parsing,142946,afl | honggfuzz | libfuzzer,address | undefined,0,Yes,Yes,No,cmake,2,cmake | ninja-build | pkg-config | libjpeg-dev,11,5.71,CWE-617 | CWE-369 | CWE-126 | CWE-125 | CWE-787 | CWE-191 | CWE-400 | CWE-908 | CWE-805,3414
llvm,llvm/llvm-project,https://github.com/llvm/llvm-project.git,http://llvm.org/,c++,compression | language-runtime,36151449,libfuzzer | honggfuzz,fuzzer,62,Yes,No,Yes,cmake,1,autoconf | automake | libtool | make | unzip | git | binutils | liblzma-dev | libz-dev | python-all | cmake | ninja-build | subversion | pkg-config,11,5.52,CWE-120 | CWE-119 | CWE-125 | CWE-617 | CWE-476 | CWE-203,37465
minify,tdewolff/minify,https://github.com/tdewolff/minify,https://github.com/tdewolff/minify,go,uncategorized,14730,libfuzzer,address,0,Yes,Yes,No,,2,,11,4.95,CWE-200 | CWE-352 | CWE-400 | CWE-94 | CWE-284 | CWE-79 | CWE-862,4081
nghttp2,nghttp2/nghttp2,https://github.com/nghttp2/nghttp2.git,https://nghttp2.org/,c++,networking,95414,libfuzzer | afl | honggfuzz,address | undefined | memory,4,Yes,Yes,No,cmake,2,make | autoconf | automake | libtool | pkg-config,11,6.11,CWE-119 | CWE-20 | CWE-476 | CWE-400 | CWE-707 | CWE-459 | CWE-770 | CWE-362 | CWE-401 | CWE-416,4967
pcre2,PCRE2Project/pcre2,https://github.com/PCRE2Project/pcre2,http://www.pcre.org/,c++,uncategorized,81073,libfuzzer | afl,address | memory | undefined,6,Yes,Yes,No,make,2,make | autoconf | automake | libtool | subversion,11,7.59,CWE-119 | CWE-787 | CWE-125 | CWE-190 | CWE-122,1246
proxygen,facebook/proxygen,https://github.com/facebook/proxygen.git,https://github.com/facebook/proxygen,c++,crypto | compression | networking | system,155516,libfuzzer | afl,address | undefined,2,Yes,Yes,No,,2,make | autoconf | automake | libtool | gcc | python | python-dev | cmake | ninja-build | git | flex | bison | libkrb5-dev | libsasl2-dev | libnuma-dev | pkg-config | libssl-dev | libcap-dev | libevent-dev | libjemalloc-dev | unzip | libiberty-dev | liblzma-dev | zlib1g-dev | binutils-dev | libsodium-dev | libunwind8-dev | patchelf,11,7.17,CWE-284 | CWE-74 | CWE-476 | CWE-20 | CWE-400 | CWE-388 | CWE-787 | CWE-416 | CWE-617 | CWE-834,8341
retry,invl/retry,https://github.com/invl/retry,https://github.com/invl/retry,python,uncategorized,195,libfuzzer,address | undefined,0,Yes,Yes,No,pip,2,,11,7.4,CWE-74 | CWE-77,753
coreutils,coreutils/coreutils,https://github.com/coreutils/coreutils,http://www.gnu.org/software/coreutils/,,uncategorized,106941,,,0,No,No,No,,0,,10,5.33,CWE-264 | CWE-59 | CWE-20 | CWE-362 | CWE-367 | CWE-787 | CWE-190 | CWE-122 | CWE-121,5052
